acquisition_campaignID,NPU_Count,First_GMV,Avg_First_Amount,Median_First_Amount,Total_First_Discount,Avg_First_Discount,Dominant_First_Category,Dominant_Promotion_Type,First_month_min,First_month_max,First_Subsidy_Rate
5483,1,230000,230000.0,230000.0,15000,15000.0,Unknown_Group,voucher,2022-06-12 12:06:36.073,2022-06-12 12:06:36.073,0.06521739130434782
5489,1,50000,50000.0,50000.0,15000,15000.0,Unknown_Group,voucher,2022-10-19 09:22:07.080,2022-10-19 09:22:07.080,0.3
5736,20,20000,1000.0,1000.0,19800,990.0,Goods_Transaction,voucher,2022-10-26 16:53:32.453,2022-11-29 06:20:19.505,0.99
6306,2,60000,30000.0,30000.0,20000,10000.0,Access_Service,voucher,2022-06-12 06:09:35.203,2022-11-20 23:35:54.588,0.3333333333333333
6311,3,160000,53333.333333333336,55000.0,45000,15000.0,Goods_Transaction,voucher,2022-06-11 13:44:09.311,2022-08-04 09:29:26.774,0.28125
6312,12,240000,20000.0,20000.0,60000,5000.0,Goods_Transaction,voucher,2022-07-28 09:57:35.327,2022-11-26 23:31:35.509,0.25
6313,1,253852,253852.0,253852.0,10000,10000.0,Obligation_Payment,voucher,2022-06-16 13:39:36.380,2022-06-16 13:39:36.380,0.03939303216047146
6317,1,100000,100000.0,100000.0,10000,10000.0,Obligation_Payment,voucher,2022-07-30 08:03:02.709,2022-07-30 08:03:02.709,0.1
6580,50,2878000,57560.0,50000.0,500000,10000.0,Goods_Transaction,voucher,2022-06-02 08:21:42.979,2022-09-15 16:14:25.803,0.17373175816539263
6581,4,290000,72500.0,63000.0,40000,10000.0,OnDemand_Service,voucher,2022-06-27 10:10:01.114,2022-10-05 18:01:56.623,0.13793103448275862
6589,3,150000,50000.0,50000.0,15000,5000.0,Access_Service,voucher,2022-08-11 13:22:08.221,2022-10-02 07:12:54.572,0.1
6685,28,3102800,110814.28571428571,110000.0,1503000,53678.57142857143,Unknown_Group,direct discount,2022-06-09 09:39:36.490,2022-06-30 22:00:12.634,0.48440118602552534
6811,26,4100000,157692.3076923077,175000.0,1996000,76769.23076923077,Unknown_Group,direct discount,2022-06-09 14:02:48.376,2022-06-30 19:55:45.384,0.4868292682926829
7048,18,305160,16953.333333333332,18000.0,90000,5000.0,Access_Service,voucher,2022-06-04 19:57:36.879,2022-08-19 20:24:49.356,0.2949272512780181
7049,62,8654484,139588.4516129032,103052.5,1240000,20000.0,Obligation_Payment,voucher,2022-06-04 11:29:07.886,2022-08-20 11:15:58.578,0.1432783283209028
7050,32,7862065,245689.53125,194499.5,640000,20000.0,Obligation_Payment,voucher,2022-06-04 12:31:55.707,2022-09-08 10:45:31.327,0.08140354983073786
7052,63,34292034,544318.0,253300.0,315000,5000.0,Goods_Transaction,voucher,2022-06-02 09:41:03.764,2022-08-17 10:36:06.883,0.00918580682615677
7053,13,2060000,158461.53846153847,130000.0,195000,15000.0,Unknown_Group,voucher,2022-06-04 17:49:16.881,2022-08-18 13:27:12.514,0.09466019417475728
7054,60,14391450,239857.5,215000.0,900000,15000.0,Unknown_Group,voucher,2022-06-01 12:17:33.758,2022-08-18 16:16:14.153,0.06253713142178169
7059,2,3593840,1796920.0,1796920.0,300000,150000.0,Mobility_Service,voucher,2022-06-27 12:20:25.973,2022-08-05 18:12:16.144,0.08347617033590811
7060,3,12492240,4164080.0,4534000.0,600000,200000.0,Mobility_Service,voucher,2022-06-22 21:34:50.029,2022-07-16 10:27:21.076,0.04802981691033794
7062,2,816000,408000.0,408000.0,40000,20000.0,Goods_Transaction,voucher,2022-08-08 13:01:29.057,2022-08-15 10:24:22.396,0.049019607843137254
7066,1,69000,69000.0,69000.0,10000,10000.0,Interactive_Service,voucher,2022-06-08 20:36:01.184,2022-06-08 20:36:01.184,0.14492753623188406
7067,1,100000,100000.0,100000.0,20000,20000.0,Interactive_Service,voucher,2022-06-18 19:16:37.033,2022-06-18 19:16:37.033,0.2
7068,4,516000,129000.0,99000.0,120000,30000.0,Interactive_Service,voucher,2022-06-21 12:27:25.834,2022-07-22 19:42:43.627,0.23255813953488372
7069,1,140000,140000.0,140000.0,15000,15000.0,Financial_Service,voucher,2022-07-13 20:41:00.177,2022-07-13 20:41:00.177,0.10714285714285714
7075,3,507000,169000.0,169000.0,60000,20000.0,Daily_Consumption,voucher,2022-06-10 18:39:22.044,2022-06-20 19:07:20.502,0.11834319526627218
7077,2,470000,235000.0,235000.0,40000,20000.0,Daily_Consumption,voucher,2022-06-01 11:53:42.116,2022-06-12 11:44:56.169,0.0851063829787234
7080,1,101000,101000.0,101000.0,15000,15000.0,Daily_Consumption,voucher,2022-08-13 19:54:04.546,2022-08-13 19:54:04.546,0.1485148514851485
7289,543,552000,1016.5745856353591,1000.0,537580,990.0184162062615,Goods_Transaction,voucher,2022-06-01 02:23:25.129,2022-10-07 18:46:59.205,0.9738768115942029
7421,1355,78239202,57741.10848708487,20000.0,13550000,10000.0,Access_Service,voucher,2022-06-01 00:02:22.282,2022-09-14 21:42:38.165,0.17318683797413986
7422,536,6000000,11194.029850746268,10000.0,2680000,5000.0,Access_Service,voucher,2022-06-01 08:18:21.449,2022-09-08 08:48:37.469,0.44666666666666666
7423,44,2177880,49497.27272727273,23950.0,220000,5000.0,Access_Service,voucher,2022-06-01 11:33:00.208,2022-09-03 17:43:07.904,0.10101566661156722
7424,434,202348233,466240.168202765,298441.5,15190000,35000.0,Obligation_Payment,voucher,2022-06-01 17:18:08.790,2022-08-26 09:57:26.529,0.0750686070977452
