acquisition_campaignID,NPU_Count,First_GMV,Avg_First_Amount,Median_First_Amount,Total_First_Discount,Avg_First_Discount,Dominant_First_Category,Dominant_Promotion_Type,First_month_min,First_month_max,First_Subsidy_Rate,Repeat_Rate,D7_Retention,D30_Retention,D60_Retention,Avg_Post_Tx,Avg_Post_GMV,Avg_Post_Discount,Post_Non_Promo_Tx_Share,Avg_Post_Category_Count,Avg_Post_Merchant_Count
5483,1,230000,230000.0,230000.0,15000,15000.0,Unknown_Group,voucher,2022-06-12 12:06:36.073,2022-06-12 12:06:36.073,0.0652173913043478,1.0,1.0,1.0,1.0,3.0,40000.0,9000.0,0.6666666666666666,1.0,1.0
5489,1,50000,50000.0,50000.0,15000,15000.0,Unknown_Group,voucher,2022-10-19 09:22:07.080,2022-10-19 09:22:07.080,0.3,1.0,1.0,1.0,1.0,3.0,688343.0,65000.0,0.0,1.0,2.0
5736,20,20000,1000.0,1000.0,19800,990.0,Goods_Transaction,voucher,2022-10-26 16:53:32.453,2022-11-29 06:20:19.505,0.99,0.45,0.25,0.4,0.4444444444444444,3.35,109385.1,2985.0,0.5074626865671642,0.6,0.8
6306,2,60000,30000.0,30000.0,20000,10000.0,Access_Service,voucher,2022-06-12 06:09:35.203,2022-11-20 23:35:54.588,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6311,3,160000,53333.333333333336,55000.0,45000,15000.0,Goods_Transaction,voucher,2022-06-11 13:44:09.311,2022-08-04 09:29:26.774,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6312,12,240000,20000.0,20000.0,60000,5000.0,Goods_Transaction,voucher,2022-07-28 09:57:35.327,2022-11-26 23:31:35.509,0.25,0.5,0.1666666666666666,0.5,0.5454545454545454,0.6666666666666666,158978.25,0.0,1.0,0.5,0.5
6313,1,253852,253852.0,253852.0,10000,10000.0,Obligation_Payment,voucher,2022-06-16 13:39:36.380,2022-06-16 13:39:36.380,0.0393930321604714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6317,1,100000,100000.0,100000.0,10000,10000.0,Obligation_Payment,voucher,2022-07-30 08:03:02.709,2022-07-30 08:03:02.709,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6580,50,2878000,57560.0,50000.0,500000,10000.0,Goods_Transaction,voucher,2022-06-02 08:21:42.979,2022-09-15 16:14:25.803,0.1737317581653926,0.04,0.02,0.02,0.02,0.18,61337.6,1200.0,0.5555555555555556,0.06,0.12
6581,4,290000,72500.0,63000.0,40000,10000.0,OnDemand_Service,voucher,2022-06-27 10:10:01.114,2022-10-05 18:01:56.623,0.1379310344827586,0.5,0.5,0.5,0.5,3.75,457398.25,32500.0,0.3333333333333333,1.0,1.0
6589,3,150000,50000.0,50000.0,15000,5000.0,Access_Service,voucher,2022-08-11 13:22:08.221,2022-10-02 07:12:54.572,0.1,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,11.0,14743470.666666666,102333.33333333331,0.1212121212121212,1.6666666666666667,2.333333333333333
6685,28,3102800,110814.28571428572,110000.0,1503000,53678.57142857143,Unknown_Group,direct discount,2022-06-09 09:39:36.490,2022-06-30 22:00:12.634,0.4844011860255253,0.8214285714285714,0.3214285714285714,0.5714285714285714,0.75,5.821428571428571,1069002.5357142857,12892.857142857143,0.8834355828220859,1.5714285714285714,1.8928571428571428
6811,26,4100000,157692.3076923077,175000.0,1996000,76769.23076923077,Unknown_Group,direct discount,2022-06-09 14:02:48.376,2022-06-30 19:55:45.384,0.4868292682926829,0.6538461538461539,0.2307692307692307,0.4230769230769231,0.5384615384615384,7.615384615384615,620192.8076923077,43961.15384615384,0.6919191919191919,1.5,2.0
7048,18,305160,16953.333333333332,18000.0,90000,5000.0,Access_Service,voucher,2022-06-04 19:57:36.879,2022-08-19 20:24:49.356,0.2949272512780181,1.0,0.6111111111111112,0.8888888888888888,1.0,34.166666666666664,1143169.111111111,74553.88888888889,0.8357723577235773,1.7222222222222223,3.9444444444444446
7049,62,8654484,139588.4516129032,103052.5,1240000,20000.0,Obligation_Payment,voucher,2022-06-04 11:29:07.886,2022-08-20 11:15:58.578,0.1432783283209028,0.8870967741935484,0.3548387096774194,0.6774193548387096,0.8225806451612904,10.225806451612904,2996817.080645161,23691.25806451613,0.8485804416403786,1.6612903225806452,2.8225806451612905
7050,32,7862065,245689.53125,194499.5,640000,20000.0,Obligation_Payment,voucher,2022-06-04 12:31:55.707,2022-09-08 10:45:31.327,0.0814035498307378,0.90625,0.25,0.65625,0.875,11.34375,3369127.40625,25312.5,0.8484848484848485,1.6875,2.53125
7052,63,34292034,544318.0,253300.0,315000,5000.0,Goods_Transaction,voucher,2022-06-02 09:41:03.764,2022-08-17 10:36:06.883,0.0091858068261567,0.6666666666666666,0.2063492063492063,0.4603174603174603,0.492063492063492,5.746031746031746,1951018.873015873,11126.984126984127,0.8674033149171271,1.2698412698412698,1.5873015873015872
