first_report_cat,NPU_Count,First_GMV,Avg_First_Amount,Total_First_Discount,First_Subsidy_Rate
Access_Service,14732,493779634,33517.48805321749,135545433,0.27450592059047946
Daily_Consumption,365,34953461,95762.90684931507,7140000,0.20427161705102678
Financial_Service,60,10652054,177534.23333333334,1025000,0.09622557302094037
Goods_Transaction,2409,679516665,282074.1656288917,34949448,0.05143280481575827
Infrastructure_Service,1,100000,100000.0,25000,0.25
Interactive_Service,1712,279067050,163006.45443925232,73174750,0.26221207412340514
Internal_Service,38,14838000,390473.6842105263,664000,0.04474996630273622
Mobility_Service,75,88739072,1183187.6266666667,5885000,0.06631802505214389
Obligation_Payment,11691,8319979798,711656.8127619537,558580000,0.06713718224823988
OnDemand_Service,917,75071123,81866.00109051254,16190000,0.2156621528094098
Unknown_Group,1631,323419243,198295.0600858369,123382544,0.38149413391583503
